ID,Site,Date_of_capture,Length_of_captivity_days,Sex,Pregnant,Mass_g,Length_cm,Age_days,Spleen_mass_g,Number_of_spleen_cells,Percent_viable_cells,Percent_CD3._T.cells,Number_of_T_cells,Percent_CD3.CD4.,Percent_CD3.CD8.,Ratio_of_CD4_to_CD8,Number_of_sorted_CD4,Number_of_sorted_CD8,Storage_method,CD4.alpha.count,CD4.beta.count,CD8.alpha.count,CD8.beta.count,CD4.alpha.unique.seq,CD4.beta.unique.seq,CD8.alpha.unique.seq,CD8.beta.unique.seq,CD4.alpha.powerlaw,CD4.beta.powerlaw,CD8.alpha.powerlaw,CD8.beta.powerlaw,CD4.alpha.simpsons,CD4.beta.simpsons,CD8.alpha.simpsons,CD8.beta.simpsons,CD4.alpha.shannons,CD4.beta.shannons,CD8.alpha.shannons,CD8.beta.shannons
N05,Nottingham,05-Jun,1,F,No,12.2,7.6,39,0.06,13650000,0.955518204,0.378780863,5170358.78,0.48231942,0.438271449,1.100503858,226315,205014,RLT,193326,143896,168897,134611,24826,25068,25608,24876,2.820581335,2.88739506,3.727688416,4.265838963,0.00030537,0.000252229,0.000106795,9.12851784759658e-05,9.260655298,9.369437716,9.595983572,9.679280917
N07,Nottingham,05-Jun,1,F,No,10.52,7,46,0.03,8940000,0.960889346,0.317143983,2835267.21,0.64864019,0.280633661,2.311341373,349512,147340,RLT,144590,117051,157338,116090,17710,17848,17979,17616,2.817575152,2.870450401,3.04599103,3.081140027,0.001442613,0.001941125,0.000242282,0.000271363,8.678737692,8.761669373,9.144823122,9.143186103
N08,Nottingham,05-Jun,1,F,Yes,17.94,7.1,81,0.05,18025000,0.98410875,0.402249172,7250541.32,0.77712809,0.166917461,4.655762721,651280,135609,RLT,165269,107528,100831,67744,23308,20580,11801,10347,3.110286942,3.382210814,3.333494057,3.534427214,0.000133104,0.000132013,0.00030169,0.000286967,9.427255037,9.444301937,8.857926826,8.867798921
N09,Nottingham,05-Jun,2,F,No,13,8,42,0.04,7800000,0.973647409,0.449117967,3503120.14,0.667992766,0.279839986,2.387052599,540866,224911,Pellet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N10,Nottingham,05-Jun,2,M,NA,19.32,8.2,101,0.07,20050000,0.967881809,0.43867108,8795355.16,0.681781819,0.270742594,2.518191945,964518,366035,Pellet,54908,61161,NA,NA,5892,7445,NA,NA,4.002649675,4.886730594,NA,NA,0.000256944,0.00020037,NA,NA,8.468347729,8.702302527,NA,NA
N11,Nottingham,05-Jun,2,M,NA,12.96,7.9,45,0.05,8950000,0.972503736,0.449859513,4026242.64,0.574016456,0.368672551,1.556981808,381815,256847,Pellet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N12,Nottingham,05-Jun,2,F,N,11.54,7.2,38,0.03,3800000,0.954847379,0.44173587,1678596.31,0.639637925,0.292980037,2.183213342,262487,119298,Pellet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N13,Nottingham,05-Jun,3,F,N,14.6,7.9,79,0.03,10575000,0.976173982,0.464815396,4915422.81,0.613425495,0.348983118,1.7577512,696613,386620,Homogensised lysate,142196,109956,135553,126258,27378,30249,25131,30804,2.976396784,3.21430104,3.576830865,4.151685679,0.000158014,0.000162785,0.000594816,0.000653148,9.523347158,9.707159804,9.520787135,9.740412626
N14,Nottingham,05-Jun,3,M,NA,21.91,9.1,85,0.05,18075000,0.974086139,0.533816457,9648732.46,0.684095784,0.290933672,2.351380567,1535712,618919,Homogensised lysate,72692,73778,149489,142483,25100,33435,35092,44983,3.850614949,4.190595468,3.677688141,4.114858461,8.62055107853747e-05,5.69072318008916e-05,7.19021012923955e-05,5.62762751272232e-05,9.751335002,10.09080892,9.936637021,10.17435988
N15,Nottingham,05-Jun,3,M,NA,19.37,8.1,93,0.05,11225000,0.977485723,0.381110763,4277968.31,0.813537503,0.149129125,5.45525565,779105,134387,Homogensised lysate,208411,203107,113648,95771,43759,55949,20557,23528,2.884022978,2.926752718,3.83184179,4.375862804,0.000106544,7.82954295104777e-05,0.000146772,0.00013503,9.809418375,10.08795356,9.485829648,9.653422935
N16,Nottingham,05-Jun,3,F,No,20.68,9.1,311,0.07,18250000,0.984052439,0.550676425,10049844.76,0.752865137,0.172654429,4.360531847,1418070,307777,Homogensised lysate,136330,106750,119588,95411,22251,22672,14251,14186,2.920083931,2.93519392,2.810212767,2.908708888,0.000606148,0.000785076,0.001984661,0.001845034,9.178830163,9.203354872,8.361355045,8.407737663
N17,Nottingham,12-Jun,1,M,NA,8.7,6.6,17,<0.01,2025000,0.972726477,0.375442674,760271.41,0.767831376,0.17665924,4.34639806,143602,32345,Homogensised lysate,224749,146194,NA,NA,21084,21276,NA,NA,3.367526608,3.623014228,NA,NA,0.000140582,0.000121299,NA,NA,9.395388311,9.471650424,NA,NA
N18,Nottingham,12-Jun,1,M,NA,14.17,7.9,65,0.04,15500000,0.988052035,0.502288632,7785473.79,0.641094572,0.321107825,1.996508717,1241638,531788,Homogensised lysate,185185,164394,154706,151882,45314,59025,45016,55359,2.823229476,2.981354312,3.393366558,3.914460875,0.000126265,8.25726058411792e-05,7.40903085022347e-05,6.01068361506829e-05,9.803075833,10.11042322,10.05676333,10.23901373
N19,Nottingham,12-Jun,1,F,No,22.22,9.1,196,0.07,44750000,0.977191932,0.546014898,24434166.69,0.810869462,0.150401657,5.391359881,1344436,216343,Homogensised lysate,160740,170815,122059,128670,45340,56312,22920,28574,2.935493058,2.7161874,3.037842833,3.240606669,0.000119981,9.02399090727347e-05,0.000482389,0.000611948,9.82971887,10.0588012,9.281773429,9.46927366
N20,Nottingham,12-Jun,1,F,No,12.2,7.9,40,0.05,27450000,0.970040836,0.341304976,9368821.59,0.699237514,0.240034736,2.913068031,895946,289829,Homogensised lysate,155286,127058,121287,118552,35894,37239,34803,37797,3.004577769,3.136897333,3.474270755,3.727772044,0.000146829,0.000173277,0.000114013,0.00014075,9.693730663,9.78902852,9.866011677,9.932356875
N21,Nottingham,12-Jun,2,M,NA,20.46,8.3,100,0.06,7925000,0.976473286,0.471784515,3738892.29,0.712061743,0.245686793,2.898249984,506463,169638,Homogensised lysate,247549,152780,NA,NA,28567,27056,NA,NA,2.86449663,2.996700674,NA,NA,0.000302764,0.000297812,NA,NA,9.355348639,9.411735339,NA,NA
N22,Nottingham,12-Jun,2,F,No,20.09,8.8,345,0.06,8237500,0.958606376,0.650925279,5361996.98,0.718675082,0.256824846,2.798308236,832656,287052,Homogensised lysate,191433,142181,NA,NA,42048,38883,NA,NA,2.451049769,2.562283702,NA,NA,0.000197493,0.000277467,NA,NA,9.492525838,9.5186554,NA,NA
